Sister,Skill Name,Purpose,Status,Action Needed
Prime,email-marketing,Email campaign strategy + automation,INSTALLED,None - ready to use
Prime,copywriting,Core copywriting frameworks,INSTALLED,None - ready to use
Prime,afrexai-conversion-copywriting,Conversion-focused copy optimization,INSTALLED,None - ready to use
Prime,cold-email-personalization,SimHumans - personalized per LinkedIn bio,INSTALLED,None - ready to use
Prime,landing-page-generator,Come Get Me competition landing pages,INSTALLED,None - ready to use
Prime,lead-generation,Lead acquisition strategy,INSTALLED,None - ready to use
Prime,linkedin-lead-generation,LinkedIn-specific lead gen,INSTALLED,None - ready to use
Prime,outreach,Multi-channel outreach orchestration,INSTALLED,None - ready to use
Prime,cold-outreach,Cold outreach sequences,INSTALLED,None - ready to use
Prime,sales-pipeline-tracker,Track people through 7 Levers,INSTALLED,None - ready to use
Prime,competitor-analysis,Market intelligence + positioning,INSTALLED,None - ready to use
Prime,data-analysis,Level 5 listening to data,INSTALLED,None - ready to use
Prime,google-analytics,Track engagement metrics,INSTALLED,None - ready to use
Prime,quiz-battle,Sean's competition framework,INSTALLED,None - ready to use
Prime,stripe-best-practices,Payment infrastructure,INSTALLED,None - ready to use
Prime,sales-funnel-design,Hello to Yes journey architecture,INSTALLED,None - ready to use
Prime,automation-workflows,Workflow automation,INSTALLED,None - ready to use
Prime,activecampaign-automation,Email + CRM automation,INSTALLED,None - ready to use
Prime,mission-control-dashboard,System monitoring dashboards,INSTALLED,None - ready to use
Prime,legal,Legal domain expertise,INSTALLED,None - ready to use
Forge,action-suggester,Zone Action prioritization,NOT FOUND,Does not exist on ClawHub - find alternative
Forge,zonein,Sales zone hunting,ON CLAWHUB,Install: clawhub install zonein
Forge,sales-pipeline-tracker,Influence pipeline,INSTALLED,None - ready to use
Forge,gh-issues,PR automation,INSTALLED,None - ready to use
Forge,github,Continuous Integration / PRs,INSTALLED,None - ready to use
Forge,coding-agent,Codex engine fixes,INSTALLED,None - ready to use
Forge,oracle,Prompt optimization,BUILT-IN,None - already available
Forge,clawhub,Skill management,INSTALLED,None - ready to use
Forge,model-usage,Cost tracking,INSTALLED,None - ready to use
Forge,sessions_spawn,Subagents (babies),BUILT-IN,None - already available
